2758	<sen_neu> See Afro-Latin American, though I would personally merge that artiucle and this one,	Podívejme se na Afro - Latinskou Ameriku , I když bych osobně spojil tuhle a tuhle ,	[0, 0, 1]	ERR
6455	<sen_neg> Do not engage in edit warring by reverting pages more than 3 times. You may be blocked from editing.	Nebudete se angažovat v editaci války tím , že otáhnete stránky více než 3 krát . Můžete být od editace zablokováni .	[0, 0, 1]	ERR
3866	<sen_neu> Note for clarification: by using an ISBN number, a link is automatically created that routes through the Special:BookSources tool.	Poznámka k objasnění : použitím čísla ISBN se automaticky vytvoří odkaz , který vede přes nástroj Special : BookSources .	[0, 0, 1]	ERR
4264	<sen_neu> I did some searching online, and it turns out that the hymn is the preface to the Isavasya Upanishad, which is contained in the Yajur Veda.	Trochu jsem prohledal na internetu a ukázalo se , že hymn je předlohou Isavasya Upanishad , která je obsažena v Yajur Vede .	[0, 1, 0]	ERR
5847	<sen_neg> Autosigned by SineBot apparently. I want to talk by phone to someone who has authority. Is that you?	Autosignován SineBotem zřejmě . Chci mluvit telefonicky s někým , kdo má autoritu .	[0, 0, 1]	ERR
4105	<sen_neu> Hey, it's deja vu all over again! Robert can you clarify the latest version of your DNI proposal so that I can review it finally. Best regards,	Hej , je to deja vu znovu ! Robert můžete vyjasnit poslední verzi vašeho návrhu DNI , abych ho mohl přezkoumat konečně .	[0, 0, 0]	NOT
6412	<sen_neu> I've been here a few months too. Thank you for the welcome, though. Maybe I should update my user page...	Už jsem tu pár měsíců . Díky za přivítání , ale možná bych měla aktualizovat svou uživatelskou stránku . . .	[0, 0, 0]	NOT
1953	<sen_neu> Sue, do take symbolic action as soon as u read my above message as it is totally unacceptable. Best regards. Bye, till tomorrow.	Sue , udělej symbolické kroky , jakmile si přečteš mou výše uvedenou zprávu , protože je naprosto nepřijatelné .	[0, 1, 1]	ERR
7397	<sen_neu> Graduation earns a Krannert MBA, plus a German MBA from LUH.	Po ukončení studia získává Krannert MBA , plus německý MBA z LUH .	[0, 0, 0]	NOT
6777	<sen_neg> who the hell are you. you know nothing kid. your just a gma fanatic	Kdo to sakra jsi , nic nevíš , chlapče . Jsi jen gma fanatik .	[0, 0, 0]	NOT
6512	<sen_neg> in many jurisdictions they are completely unlicenced,	v mnoha jurisdikcích jsou zcela bezlicenční ,	[0, 0, 0]	NOT
9210	<sen_pos> Movie Gallery you might find this article interesting. [URL]	Filmová galerie by vám mohla přinést zajímavý článek . [ URL ]	[0, 0, 0]	NOT
5161	<sen_pos> Here is his Facebook wall where you can keep up with him. [URL]	Tady je jeho Facebook stěna , kde si můžete udržet krok s ním . [ URL ]	[1, 0, 0]	ERR
7898	<sen_pos> Funny stuff. Really funny stuff. Maybe the funniest stuff all year. Have fun editing master Admin. Cheers.	Zvláštní věci . Opravdu zábavné věci . Možná nejzajímavější věci za celý rok .	[0, 0, 1]	ERR
4165	<sen_neg> I do think that his very valid point was made though, and unfortunately, it probably couldn't have been done any other way.	Ale myslím , že jeho velmi platný názor byl vyjádřen , a bohužel to nebylo možné udělat jinak .	[0, 0, 0]	NOT
9043	<sen_pos> As I work nights, I will be going to sleep soon. Goonight everyone - even tom!	Když budu pracovat v noci , brzy budu spát . Goonight všichni - dokonce Tom !	[0, 0, 0]	NOT
8987	<sen_neu> Algebra Problem Solving I need some of mathematical problem, to be solve. So that i can practice on my own.	Algebra Řešení problémů Potřebuji některé matematické problémy , být vyřešeny . Abych mohl trénovat sám .	[0, 0, 0]	NOT
393	<sen_neg> They are known as Palestinian because of Arab propaganda. Real Palestinians are Jews. Arab Palestinians are frauds from Arabia.	Jsou známi jako Palestinci kvůli arabské propagandě . Skuteční Palestinci jsou Židé . Arabští Palestinci jsou podvody z Arábie .	[0, 0, 0]	NOT
4143	<sen_neg> He's notable? Then there's no justification for deletion. Please fix the POV aspects then.	Pak neexistuje žádné odůvodnění pro odstranění . Prosím , opravte tedy POV aspekty .	[0, 0, 1]	ERR
1749	<sen_pos> Scouts]], a youth wing of the Hezbollah in southern Lebanon. The really interesting thing is, outwardly, they look very much like traditional	Scouts ] ] , mládežnické křídlo Hezbollah v jižním Libanonu . Opravdu zajímavé je , že venku vypadají velmi podobně jako tradiční	[1, 1, 0]	ERR
9226	<sen_neu> REDIRECT Talk:Dungeons & Dragons–related products	REDIRECT Talk : Dungeons & Dragons – související produkty	[0, 0, 0]	NOT
6843	<sen_pos> Simon Mills is pretty gay. It regularly takes it in the anus.	Simon Mills je docela gay , pravidelně ho bere do análního otvoru .	[0, 0, 0]	NOT
3419	<sen_neg> Sorry, it is no common practice for publishers in Vietnam to assign ISBNs for their books. So I can't find any ISBN for Tôtem sói.	Promiňte , není běžnou praxí pro vydavatele ve Vietnamu přidělit ISBN pro jejich knihy . Takže nemůžu najít žádný ISBN pro Tôtem sói .	[0, 0, 0]	NOT
9422	<sen_neu> Feel free to ask me questions. I'm new! But I know not too much about Wikipedia!	Jsem nový ! Ale nevím příliš mnoho o Wikipedii !	[0, 0, 0]	NOT
8682	<sen_neg> Yeah, like the fact that he is gay; I mean, he was in a boyband for Christ ́s sake... whaaaaat a homo.	Jo , jako fakt , že je gay ; Myslím tím , že byl v chlapecké kapele pro Kristovy rány . . . whaaaaat homo .	[0, 0, 0]	NOT
5667	<sen_neg> Editsemiprotected Adam copeland I need to edit this page!	Editsemiprotected Adam copeland Potřebuji upravit tuto stránku !	[0, 0, 1]	ERR
1458	<sen_neg> Does anyone know why this guy is so little known? There appears to be nothing on him apart from the MERLIN project.	Ví někdo , proč je toho chlápka tak málo známo ? Zdá se , že na něm není nic kromě projektu MERLIN .	[0, 0, 0]	NOT
1493	<sen_neg> How sad that no editors will even seriously discuss these legitimate criticims. Having the article locked is ridiculous.	Jak smutné , že žádný redaktor nebude dokonce vážně diskutovat o těchto legitimních kritikách .	[1, 0, 0]	ERR
3734	<sen_neg> Dom Brown Why have you listed Dom Brown as an official member of Duran Duran, when he clearly is not?	Dom Brown Proč jste jmenoval Doma Browna oficiálním členem Duran Duran , když to zjevně není ?	[0, 0, 0]	NOT
8224	<sen_neg> In fact, would anyone object to my changing of the apostrophe's status on these pages (id est, making it go away)?	Vlastně by se někdo vyjádřil proti mé změně statusu apostrofy na těchto stránkách ( id est , aby to zmizelo ) ?	[0, 0, 0]	NOT
4612	<sen_neu> OrphanBot]]. For assistance on the image use policy, see Wikipedia:Media copyright questions. 14:12,	OrphanBot ] ] . Pro pomoc v politice používání obrázku viz Wikipedia : Otázky týkající se autorského práva na média . 14 : 12 ,	[0, 0, 0]	NOT
2137	<sen_neg> fuck you, cunt - contact whomever the fuck you want.	Kurva , děvko - kontaktuj kohokoliv , koho chceš .	[1, 1, 1]	ERR
4609	<sen_pos> He had a show on mtv too...it was fuckin hilarious	Měl taky show na mtv . Bylo to kurva vtipné .	[0, 0, 0]	NOT
4413	<sen_neu> Headlines == Im testing something == Something about the headlines? Headlines.	Hlavní zprávy == Něco testuji == Něco o hlavních zprávách ?	[0, 0, 0]	NOT
3727	<sen_neu> Yer all a bunch of wankers! pppptttthhhh! nipple...	To je banda šílenců ! pppptttthhhh !	[0, 1, 1]	ERR
9539	<sen_neu> I take it it means her grandmother's sister, but could be better worded.	Myslím , že to znamená sestru její babičky , ale dalo by se to lépe vyjádřit .	[0, 0, 0]	NOT
3387	<sen_neg> this user believes calgarians subscribe to the concept of Prongerphysics	tento uživatel věří , že Calgarians se připojit k pojetí Prongerphysics	[0, 0, 2]	NOT
1341	<sen_pos> Call 'em like you see 'em is refreshing around here.	Zavolej jim , jak vidíš , je tu osvěžující .	[1, 0, 0]	ERR
8772	<sen_neu> Should a triprotic acid be given as a standard curve? Surely the standard curves should be the monoprotic strong/weak combinations?	Měla by být triprotiková kyselina jako standardní křivka ? Jistě standardní křivky by měly být monoprotické silné / slabé kombinace ?	[0, 1, 0]	ERR
5909	<sen_neg> For continued disruption, you have now been blocked for one week.	Kvůli pokračujícímu narušení jste nyní blokován na týden .	[0, 0, 0]	NOT
3108	<sen_neg> Isn't that a US government product? They shouldn't be able to reserve that.	Není to produkt americké vlády ? Neměli by to mít možnost rezervovat .	[0, 0, 0]	NOT
3379	<sen_neu> all those special views can be elaborated in the article, they don't need (wrong) prominence in he lead	všechny tyto zvláštní názory mohou být vysvětleny v článku , nepotřebují ( pochybný ) význam v jeho vedení	[0, 0, 0]	NOT
6664	<sen_neu> The 'British' in Britsh Isles refers to the Ancient Britons, and so in this case should be uncontroversial.	Britský v Britských ostrovech odkazuje na starověké Brity , a v tomto případě by měl být nesporný .	[0, 0, 0]	NOT
8788	<sen_neu> RE: your photo usage request! I have moved your message to my current talk page and replied there, for continuity.	RE : váš požadavek na používání fotografií ! Přesunula jsem vaši zprávu do mé současné stránky pro rozhovor a odpověděla tam , pro kontinuitu .	[0, 0, 0]	NOT
220	<sen_neg> p.s. Don't expect me to reply promptly please, I have a life offline.	Nečekejte , že vám hned odpovím , prosím , mám život offline .	[0, 0, 0]	NOT
8364	<sen_neu> Did you mention that I have provided additional sources supporting my view?	Zmínil jste se , že jsem poskytl další zdroje podporující můj názor ?	[0, 0, 0]	NOT
6449	<sen_pos> it took me two minutes to understand that but okay. you win. thank you very much for your information.	trvalo mi to dvě minuty , abych to pochopil , ale v pořádku . Vyhrál jste . Děkuji vám moc za vaše informace .	[0, 0, 0]	NOT
3246	<sen_neg> He should start with the Peters/Ahmed figures question.	Měl by začít s otázkou Peters / Ahmedovy postavy .	[0, 0, 0]	NOT
1215	<sen_neg> October 2009 Please stop your disruptive editing. If you continue to vandalize Wikipedia, you will be blocked from editing.	Říjen 2009 Prosím , přestaňte své narušující úpravy . Pokud budete pokračovat v vandalizování Wikipedie , budete zablokováni z úpravy .	[0, 0, 0]	NOT
6037	<sen_neg> i provided you with the information so can you remove the line saying going out and the scrutinity line removed i will not ask you to add it back	Poskytl jsem vám informace , takže můžete odstranit řádek , že jít ven a kontrolní řádek odstraněn Nebudu vás požádat , abyste ho přidali zpět	[0, 0, 0]	NOT
3185	<sen_neu> REDIRECT Talk:Illinois Central Gulf commuter rail accident	REDIRECT Talk : Neštěstí při jízdě vlakem do Illinois Central Gulf	[0, 1, 0]	ERR
9007	<sen_neu> I made a few changes. People can click over to the article on the Washington Times, for instance, and read about its connection to the church.	Lidé mohou kliknout na článek v Washington Timesu , například , a přečíst o jeho spojení s církví .	[0, 1, 0]	ERR
5703	<sen_neg> Hey, EVula, what do you think of me, Tim! Write it on my profile, .	Hej , EVulo , co si o mně myslíš , Time ! Napiš to na můj profil .	[0, 0, 0]	NOT
2437	<sen_neg> Also I doubt that its the second largest in Montreal. Is this by enrollment or building size? This should be elaborated.	Také pochybuji , že jeho druhý největší v Montrealu . Je to podle zařazení nebo velikosti budovy ? To by mělo být vysvětleno .	[0, 1, 0]	ERR
3791	<sen_neg> Hi wikipedia editors wikipedia user Seraphimblade not good user	Ahoj wikipedia editory wikipedia uživatel Seraphimblade není dobrý uživatel	[0, 0, 0]	NOT
9542	<sen_neg> This guy is a self-proclaimed professor, he should have known more than better.	Tenhle chlap je sebeprohlašovaný profesor , měl to vědět víc než lépe .	[0, 0, 0]	NOT
2625	<sen_neg> Why are you doing this? Are you some sort of sadist or troll?	Proč to děláš ? Jsi nějakej sadista nebo troll ?	[0, 0, 0]	NOT
444	<sen_neg> Sorry but I am just making very little updates. Do I need to discuss before making these updates? Thanks. Sorry again !	Promiňte , ale dělám jen velmi malé aktualizace . Potřebuji prodiskutovat před těmito aktualizacemi ? Díky . Promiňte znovu !	[0, 0, 0]	NOT
6962	<sen_neg> Again, comparing the Kiedis images, are you a retard or simply still in kindergarden ?	Znovu , porovnáním s Kiedis obrázky , jste retard nebo prostě pořád v školce ?	[0, 0, 0]	NOT
2888	<sen_neu> WHAT WHAT WHAT!!!!!! that was a smiley face WOW B==) what is wrong with you?	Co se děje , co se děje ? ! To bylo úsměvný obličej WOW B== ) co se s tebou děje ?	[0, 0, 0]	NOT
1107	<sen_neu> Hey Burgas00, why did you make that personal attack on me on my user page? I found it rather funny:)))	Hej Burgas00 , proč jste na mě udělal ten osobní útok na mé uživatelské stránce ? Napadlo mě to docela vtipné : ) ) )	[0, 0, 0]	NOT
4251	<sen_neu> I try to look at all the data involved. I'm not sure why anyone wouldn't either, but I assume good faith.	Nejsem si jistý , proč by to nikdo nedělal , ale předpokládám , že to bude v dobré víře .	[1, 1, 0]	ERR
9669	<sen_neg> I'm confused? just had to type something tho to see what it's all about???	Jsem zmatený ? Jen jsem musel napsat něco , abych viděl , o čem to celé je ? ? ?	[0, 0, 0]	NOT
7247	<sen_neu> Oh they where somebody elses eunuchs! thats OK then!	Oh oni , kde někdo jiný eunuchs ! To je v pořádku !	[0, 0, 0]	NOT
4829	<sen_neg> nor was even close to approaching 3RR and neither was there any report filed.	ani se nepřibližoval k 3RR a nebyla tam žádná zpráva .	[0, 0, 1]	ERR
1655	<sen_neu> Quoted Cong. Rohrabacher DIRECTLY regarding sutton. Now stop the whitewashing goon who keeps deleting things from this article.	Citovaný Cong . Rohrabacher přímo ohledně sutton . Nyní zastavte mytí blbce , který neustále smazává věci z tohoto článku .	[1, 0, 1]	ERR
6020	<sen_neg> Having been victimized by this contributor's immature attacks on contributions, I welcome his departure.	Poté , co byl obětí nedospělých útoků tohoto přispěvatele na příspěvky , vítám jeho odchod .	[0, 0, 0]	NOT
9212	<sen_neg> and perhaps add a sentence about the critics on Giuccardini.	a možná doplnit větu o kritikech Giuccardiniho .	[0, 0, 0]	NOT
5697	<sen_pos> Included some relevant links and edited some emotive language	Zahrnoval některé relevantní odkazy a upravil některé emotivní jazyk	[0, 0, 1]	ERR
7734	<sen_neg> I fail to see how tacking a speedy delete on this article is acting in good faith.	Nechápu , jak řešení rychlého vymazání tohoto článku jedná v dobré víře .	[0, 0, 0]	NOT
5759	<sen_neu> You stick to your talk page, I'll d mine, right? 20:	Zůstaň na svém diskusním webu , já budu na svém , že jo ?	[0, 0, 0]	NOT
3581	<sen_pos> This is the english poet of The beggar Woman! (NICE WORK)	Tohle je anglický básník The beggar Woman ! ( Pěkná práce )	[0, 0, 1]	ERR
1228	<sen_pos> Thanks. If you need any help, feel free to ask me here.	Pokud budete potřebovat nějakou pomoc , klidně se mě zeptejte .	[0, 0, 0]	NOT
8457	<sen_neg> Stop lying. Name, caps, hyphens are the issue. WBC & TBR uses completely different formats to each other and your own; [URL] [URL] [URL]	Přestaňte lhát . Jméno , čepice , nápisy jsou problémem . WBC & TBR používá zcela jiné formáty k sobě navzájem a vaše vlastní ; [ URL ] [ URL ] [ URL ]	[1, 0, 1]	ERR
2285	<sen_neg> Why was my talk page protected? Noone can use it right now?	Proč byla moje talková stránka chráněna ? Nikdo ji teď nemůže používat ?	[0, 0, 0]	NOT
5061	<sen_neg> Sorry I didnt Know im just new i better read the rules properly	Promiň , že jsem nevěděl , že jsem jen nový lépe si pravidla správně přečíst	[1, 0, 0]	ERR
7240	<sen_neu> REDIRECT Talk:Soobramoney v. Minister of Health, KwaZulu-Natal	REDIRECT Talk : Soobramoney v . ministr zdravotnictví , KwaZulu - Natal	[0, 0, 0]	NOT
3870	<sen_neg> If you knew any better you would know that only bullshit gets published, and people like you try to delete the truth.	Kdybys to věděl lépe , věděl bys , že se zveřejňují jen blbosti a lidé jako ty se snaží vymazat pravdu .	[0, 0, 0]	NOT
5155	<sen_neu> Dear Sir any historical discussion on India has to be based India before partition.That is inevitable. V.kothanda Raman	Vážený pane , každá historická diskuze o Indii musí být založena na Indii před rozdělením . To je nevyhnutelné . V . kothanda Raman	[0, 0, 0]	NOT
2645	<sen_neu> Applied section as proposed and agreed here. It's much shorter and heavily sourced. Regards.	Použitá část , jak se zde navrhuje a dohodnuto . Je mnohem kratší a těžší .	[0, 1, 1]	ERR
3311	<sen_neg> Leave the Merseyrail page alone. You have amened nothing of merit. Please do not use trainspotter speak.	Nechte stránku Merseyrail na pokoji , nic jste nezměnili , prosím , nevyužívejte slovo trainspotter .	[1, 1, 1]	ERR
8906	<sen_neu> Nobel Prize for Literature winner Yiddish writer Isaac Bashevis Singer was born here. No he wasn't - he was born in Leoncin.	Nobelovu cenu za literaturu se zde narodil jidišský spisovatel Isaac Bashevis Singer . Ne , nebyl - narodil se v Leoncinu .	[0, 0, 1]	ERR
1594	<sen_neg> I only want people to stop concerning my IP account is not TougHHead and people to stay away from my userpage and my usertalkpage. )	Chci jen , aby lidé přestali týkající se mého IP účtu není TougHHead a lidé zůstat daleko od mé uživatelské stránky a mé uživatelské stránky rozhovoru . )	[0, 0, 1]	ERR
5034	<sen_pos> Hi Adela! I'm a brand new member muddling my way around the site! Any advice for keeping it simple? Thanks! Im Kevin	Ahoj Adela ! Jsem úplně nový člen pomyšlení můj způsob kolem webu ! Máte nějaké rady pro udržení jednoduché ? Díky ! Im Kevin	[1, 0, 0]	ERR
8976	<sen_neu> How are you feeling about that NYPD motorcycle one? Look okay?	Jak se cítíš ohledně toho motocyklu NYPD ?	[0, 0, 0]	NOT
810	<sen_neg> What kind of speedy delete does this need? . The fair use rationale is lacking, and the picture is a scanlation, which is illegal I'm pretty sure. ·	Jaký druh rychlého smažení to potřebuje ? . Racionální použití chybí , a obrázek je scanlation , což je nezákonné jsem si docela jistý . ·	[1, 0, 1]	ERR
1641	<sen_pos> I cited some more sources in my new edits. I hope I have finally pleased you	Zmiňoval jsem další zdroje ve svých nových úpravách . Doufám , že jsem konečně tě potěšil .	[0, 0, 0]	NOT
9398	<sen_neg> Note to whom it may concern - this IP belongs to one of NTL's cache servers in Manchester, a block would affect many NTL customers	Vezměte na vědomí , koho to může zajímat - toto IP patří k jednomu z NTL cache serverů v Manchesteru , blok by ovlivnil mnoho NTL zákazníků	[0, 0, 0]	NOT
6534	<sen_neg> NPOV It seems to me that this article is not entirely neutral, considering some of the language used. -	NPOV Zdá se mi , že tento článek není zcela neutrální , s ohledem na některé z použitých jazyků . -	[0, 0, 0]	NOT
4092	<sen_neg> And why was this deleted? He is an American Radio Show host much like Bob & Tom, Tom Joyner, and some others.	Je moderátorem amerického rozhlasového pořadu podobně jako Bob & Tom , Tom Joyner a někteří další .	[0, 0, 0]	NOT
1452	<sen_neu> Intro: This could be expanded a little bit more. It'	Tohle by se dalo rozšířit o něco víc .	[0, 0, 1]	ERR
9421	<sen_neg> I've reverted the article to a more POV free state. FTR It looks like you're the only editor who disagrees with my work on Abe.	Zdá se , že jste jediný redaktor , který nesouhlasí s mou prací na Abe .	[0, 0, 0]	NOT
157	<sen_neg> The struggle between the Bionicle characters Makuta and Mata Nui may be based on the enmity between Quetzalcoatl and Tezcatlipoca.Citation needed	Boj mezi postavami z Bionicle Makutou a Mata Nui může být založen na nepřátelství mezi Quetzalcoatlem a Tezcatlipoca .	[0, 0, 1]	ERR
1957	<sen_neu> For all their 'scary' rhetoric the NOI have always struck me as a fairly conservative organisation.	"Bez ohledu na všechny jejich "" strašidelné "" řeči mě NOI vždy zajímala jako poměrně konzervativní organizaci ."	[0, 0, 0]	NOT
2329	<sen_neu> Also I saw Starscreams new look. His chin and his jet is based off from a Su-47 Berkut.	Také jsem viděl Starscreams nový vzhled . Jeho brada a jeho tryskáč je založen na Su - 47 Berkut .	[1, 0, 0]	ERR
5419	<sen_neu> I AM REALLY UPSET with his deletion nominations!!!!	Jsem opravdu naštvaná na jeho nominace na vyřazení z funkce ! ! ! !	[0, 0, 1]	ERR
1772	<sen_neu> Xman52 is vandalizing again. Your last couple have edits have looked fine to me. Page should be locked & Xman52 should be banned.	Xman52 znovu vandalizuje . Vaše poslední dvojice mají úpravy vypadaly dobře na mě . Stránka by měla být zamčená a Xman52 by měla být zakázána .	[0, 0, 0]	NOT
1811	<sen_neu> By the way, there also people surnamed Gautier who've been living for centuries in Spain.	Mimochodem , jsou tu také lidé jménem Gautier , kteří žijí ve Španělsku celá staletí .	[0, 0, 0]	NOT
5239	<sen_neg> I don't really remember that. What episode was that Conquistador?	Jaký byl ten Conquistador ?	[0, 0, 3]	NOT
7719	<sen_neg> Keep your Racism and Bigotry out of Wikipedia Please	Držte svůj rasismus a bigotry mimo Wikipedii Prosím	[0, 0, 0]	NOT
6432	<sen_neg> No a sockpuppet is an account of of another. IP adresses aren't accounts.	Žádný sockpuppet není účet jiného . IP adresy nejsou účty .	[1, 0, 0]	ERR
5693	<sen_neg> It appears you can expect lame shit like that from this editor.	Zdá se , že od tohohle editora můžeš očekávat takový blbý sračky .	[0, 0, 1]	ERR
6013	<sen_neg> Hint, read the exchange in the preceding section, you lazy, but prissy fusspots.	Tipu , přečtěte si výměnu v předchozím bodě , ty líný , ale štědrý blbci .	[0, 0, 1]	ERR
6846	<sen_neg> I will erase El Torito for not being related to PXE. I will Erase ERPXE for being a project non supported here even for a SINGLE independent source.	Vymažu El Torito za to , že není s PXE spojeno . Vymažu ERPXE za to , že je projekt , který zde není podporován ani pro SINGLE nezávislé zdroje .	[0, 1, 0]	ERR
4880	<sen_neu> Isn't she Queen? Yeohwang means Queen, and the external links says she's Queen.	Je to královna ? Yeohwang znamená královnu a vnější odkazy říkají , že je královna .	[0, 0, 0]	NOT
8151	<sen_neg> why you edited sergio rico national team he has been callen for spain and u removed are u bilnd do u ever watch news	proč jste editoval sergio rico národní tým byl volán pro Španělsko a u odstraněn jsou u Billnd dělat u někdy dívat se na zprávy	[0, 0, 1]	ERR
4186	<sen_neu> devout Christian and politically conservative. He has written several books on Christi	věrný křesťan a politicky konzervativní . Napsal několik knih o Christi	[0, 0, 2]	NOT
3655	<sen_neg> If you knew they were a real band why delete the page? I wasn't even done editing the page yet, you guys just deleted it!	Pokud jste věděli , že jsou skutečná kapela , proč smazat stránku ? Ještě jsem nebyla hotová s editací stránky , vy ho prostě smazali !	[0, 0, 0]	NOT
2521	<sen_neg> Also, I could not find any reference to 'least astonishment' in WP:MoS and WP:NAME. Please clarify.	"Také jsem nenašel žádnou odkaz na "" nejméně překvapení "" v WP : MoS a WP : NAME . Prosím vysvětlete ."	[0, 1, 0]	ERR
3563	<sen_neg> Dead== Is he dead? Granted, I seen this information of 4chan, but is it true? ==	Opravdu , viděl jsem tu informaci o 4chanu , ale je to pravda ?	[0, 0, 0]	NOT
1164	<sen_pos> Maybe while you are at it, you should sing praises of Al-Qaeda or Jaish-e-mohammad in there.	Možná , že když už jste u toho , měli byste tam zpívat chválu Al - Kajdá nebo Jaish - e - mohammad .	[0, 0, 0]	NOT
